RANK,TITLE,ID
1,Fullmetal Alchemist: Brotherhood,5114
2,Kimi no Na wa.,32281
3,Gintama°,28977
4,Steins;Gate,9253
5,Gintama',9969
6,Hunter x Hunter (2011),11061
7,Ginga Eiyuu Densetsu,820
8,Gintama.: Shirogane no Tamashii-hen,36838
9,Gintama': Enchousen,15417
10,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,15335
11,Koe no Katachi,28851
12,Owarimonogatari 2nd Season,35247
13,Gintama.,34096
14,Clannad: After Story,4181
15,Gintama,918
16,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,32935
17,Code Geass: Hangyaku no Lelouch R2,2904
18,Sen to Chihiro no Kamikakushi,199
19,3-gatsu no Lion 2nd Season,35180
20,Made in Abyss,34599
21,Kizumonogatari III: Reiketsu-hen,31758
22,Shigatsu wa Kimi no Uso,23273
23,Haikyuu!! Second Season,28891
24,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,33095
25,Mushishi Zoku Shou 2nd Season,24701
26,Cowboy Bebop,1
27,Hajime no Ippo,263
28,Mononoke Hime,164
29,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44
30,Code Geass: Hangyaku no Lelouch,1575
31,Boku no Hero Academia 2nd Season,33486
32,Ookami Kodomo no Ame to Yuki,12355
33,Monogatari Series: Second Season,17074
34,Mushishi Zoku Shou,21939
35,Natsume Yuujinchou Roku,34591
36,Mushishi,457
37,Great Teacher Onizuka,245
38,One Punch Man,30276
39,Suzumiya Haruhi no Shoushitsu,7311
40,Tengen Toppa Gurren Lagann,2001
41,Hajime no Ippo: New Challenger,5258
42,Howl no Ugoku Shiro,431
43,Natsume Yuujinchou Shi,11665
44,Kizumonogatari II: Nekketsu-hen,31757
45,Mushishi Zoku Shou: Suzu no Shizuku,28957
46,Monster,19
47,Bakuman. 3rd Season,12365
48,Death Note,1535
49,Fate/Zero 2nd Season,11741
50,Hajime no Ippo: Rising,19647
51,Ansatsu Kyoushitsu (TV) 2nd Season,30654
52,Haikyuu!!,20583
53,Yojouhan Shinwa Taikei,7785
54,Natsume Yuujinchou Go,32983
55,Natsume Yuujinchou San,10379
56,Ping Pong The Animation,22135
57,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,31933
58,Kara no Kyoukai 5: Mujun Rasen,4282
59,Mushishi Special: Hihamukage,21329
60,Saiki Kusuo no Ψ-nan 2,34612
61,Shouwa Genroku Rakugo Shinjuu,28735
62,Zoku Natsume Yuujinchou,5300
63,Tengen Toppa Gurren Lagann Movie: Lagann-hen,4565
64,Aria The Origination,3297
65,Rainbow: Nisha Rokubou no Shichinin,6114
66,Gintama.: Porori-hen,35843
67,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,11577
68,Ashita no Joe 2,2921
69,No Game No Life: Zero,33674
70,Boku dake ga Inai Machi,31043
